quarter,level_1,value
1985-Q1,Total,35
1985-Q1,Total (Excluding Motor Vehicles),49.1
1985-Q2,Total,25.3
1985-Q2,Total (Excluding Motor Vehicles),38.4
1985-Q3,Total,25
1985-Q3,Total (Excluding Motor Vehicles),38.4
1985-Q4,Total,26.5
1985-Q4,Total (Excluding Motor Vehicles),42
1986-Q1,Total,27.3
1986-Q1,Total (Excluding Motor Vehicles),40.6
1986-Q2,Total,22.8
1986-Q2,Total (Excluding Motor Vehicles),35.9
1986-Q3,Total,23.5
1986-Q3,Total (Excluding Motor Vehicles),36.7
1986-Q4,Total,25.6
1986-Q4,Total (Excluding Motor Vehicles),40.1
1987-Q1,Total,28.5
1987-Q1,Total (Excluding Motor Vehicles),43
1987-Q2,Total,29.3
1987-Q2,Total (Excluding Motor Vehicles),42.8
1987-Q3,Total,30.8
1987-Q3,Total (Excluding Motor Vehicles),44.5
1987-Q4,Total,34
1987-Q4,Total (Excluding Motor Vehicles),49.3
1988-Q1,Total,36.1
1988-Q1,Total (Excluding Motor Vehicles),48.7
1988-Q2,Total,34.9
1988-Q2,Total (Excluding Motor Vehicles),45.7
1988-Q3,Total,37.6
1988-Q3,Total (Excluding Motor Vehicles),48.5
1988-Q4,Total,44.7
1988-Q4,Total (Excluding Motor Vehicles),53.3
1989-Q1,Total,45.8
1989-Q1,Total (Excluding Motor Vehicles),52.4
1989-Q2,Total,38.6
1989-Q2,Total (Excluding Motor Vehicles),48.4
1989-Q3,Total,40.5
1989-Q3,Total (Excluding Motor Vehicles),52.1
1989-Q4,Total,45.8
1989-Q4,Total (Excluding Motor Vehicles),57.6
1990-Q1,Total,48.7
1990-Q1,Total (Excluding Motor Vehicles),55.3
1990-Q2,Total,41.9
1990-Q2,Total (Excluding Motor Vehicles),52.9
1990-Q3,Total,39
1990-Q3,Total (Excluding Motor Vehicles),54.6
1990-Q4,Total,44.9
1990-Q4,Total (Excluding Motor Vehicles),57.9
1991-Q1,Total,43.6
1991-Q1,Total (Excluding Motor Vehicles),54.6
1991-Q2,Total,41.7
1991-Q2,Total (Excluding Motor Vehicles),51.5
1991-Q3,Total,42.9
1991-Q3,Total (Excluding Motor Vehicles),53.2
1991-Q4,Total,48.9
1991-Q4,Total (Excluding Motor Vehicles),58.6
1992-Q1,Total,49.2
1992-Q1,Total (Excluding Motor Vehicles),58.6
1992-Q2,Total,48.1
1992-Q2,Total (Excluding Motor Vehicles),53.1
1992-Q3,Total,47.7
1992-Q3,Total (Excluding Motor Vehicles),56.3
1992-Q4,Total,49.2
1992-Q4,Total (Excluding Motor Vehicles),61.2
1993-Q1,Total,53.7
1993-Q1,Total (Excluding Motor Vehicles),59.8
1993-Q2,Total,48.6
1993-Q2,Total (Excluding Motor Vehicles),53.4
1993-Q3,Total,49.5
1993-Q3,Total (Excluding Motor Vehicles),55.9
1993-Q4,Total,52.4
1993-Q4,Total (Excluding Motor Vehicles),62.9
1994-Q1,Total,58.5
1994-Q1,Total (Excluding Motor Vehicles),66.2
1994-Q2,Total,43.2
1994-Q2,Total (Excluding Motor Vehicles),49.8
1994-Q3,Total,48.1
1994-Q3,Total (Excluding Motor Vehicles),56.4
1994-Q4,Total,51.4
1994-Q4,Total (Excluding Motor Vehicles),62.6
1995-Q1,Total,53.2
1995-Q1,Total (Excluding Motor Vehicles),60.9
1995-Q2,Total,48.3
1995-Q2,Total (Excluding Motor Vehicles),56
1995-Q3,Total,50.9
